gvkey,gvkeyx,from,thru,conm,tic,co_conm,co_tic
063800,000003,19961104,20100228,S&P 500 Comp-Ltd,I0003,IMS HEALTH HOLDINGS INC,IMS
013561,000003,19961203,20091220,S&P 500 Comp-Ltd,I0003,MBIA INC,MBI
031166,000003,19961219,20060423,S&P 500 Comp-Ltd,I0003,GUIDANT CORP,GDT
010530,000003,19970102,,S&P 500 Comp-Ltd,I0003,THERMO FISHER SCIENTIFIC INC,TMO
023809,000003,19970102,,S&P 500 Comp-Ltd,I0003,AUTOZONE INC,AZO
012589,000003,19970108,20030320,S&P 500 Comp-Ltd,I0003,HEALTHSOUTH CORP,HLS
012603,000003,19970115,20020724,S&P 500 Comp-Ltd,I0003,CNO FINANCIAL GROUP INC,CNO
018699,000003,19970403,20070102,S&P 500 Comp-Ltd,I0003,PTC INC,PTC
012540,000003,19970506,,S&P 500 Comp-Ltd,I0003,ADOBE SYSTEMS INC,ADBE
002751,000003,19970527,,S&P 500 Comp-Ltd,I0003,CARDINAL HEALTH INC,CAH
013988,000003,19970602,,S&P 500 Comp-Ltd,I0003,SCHWAB (CHARLES) CORP,SCHW
002731,000003,19970611,20051002,S&P 500 Comp-Ltd,I0003,PROVIDIAN FINANCIAL CORP,PVN
003555,000003,19970618,20080630,S&P 500 Comp-Ltd,I0003,COUNTRYWIDE FINANCIAL CORP,CFC.3
004423,000003,19970619,,S&P 500 Comp-Ltd,I0003,EQUIFAX INC,EFX
016243,000003,19970702,20080929,S&P 500 Comp-Ltd,I0003,WASHINGTON MUTUAL INC,WAMUQ
001678,000003,19970728,,S&P 500 Comp-Ltd,I0003,APACHE CORP,APA
011923,000003,19970728,,S&P 500 Comp-Ltd,I0003,ANADARKO PETROLEUM CORP,APC
013341,000003,19970804,,S&P 500 Comp-Ltd,I0003,PROGRESSIVE CORP-OHIO,PGR
008215,000003,19970804,20001210,S&P 500 Comp-Ltd,I0003,OWENS-ILLINOIS INC,OI
005786,000003,19970806,,S&P 500 Comp-Ltd,I0003,HUNTINGTON BANCSHARES,HBAN
005211,000003,19970807,20000531,S&P 500 Comp-Ltd,I0003,MIRAGE RESORTS INC,MIR.1
010035,000003,19970818,,S&P 500 Comp-Ltd,I0003,STATE STREET CORP,STT
003105,000003,19970901,20080730,S&P 500 Comp-Ltd,I0003,IHEARTMEDIA INC,IHRT
006304,000003,19970915,,S&P 500 Comp-Ltd,I0003,KLA-TENCOR CORP,KLAC
065417,000003,19971007,,S&P 500 Comp-Ltd,I0003,YUM BRANDS INC,YUM
013041,000003,19971128,20080101,S&P 500 Comp-Ltd,I0003,SYNOVUS FINANCIAL CORP,SNV
011856,000003,19971204,,S&P 500 Comp-Ltd,I0003,BB&T CORP,BBT
014824,000003,19971218,,S&P 500 Comp-Ltd,I0003,CINCINNATI FINANCIAL CORP,CINF
004066,000003,19971224,,S&P 500 Comp-Ltd,I0003,OMNICOM GROUP,OMC
030128,000003,19980112,20080916,S&P 500 Comp-Ltd,I0003,LEHMAN BROTHERS HOLDINGS INC,LEHMQ
012123,000003,19980120,20130213,S&P 500 Comp-Ltd,I0003,BIG LOTS INC,BIG
010909,000003,19980128,20010228,S&P 500 Comp-Ltd,I0003,SUMMIT BANCORP,SUB.2
007982,000003,19980130,,S&P 500 Comp-Ltd,I0003,NORTHERN TRUST CORP,NTRS
009555,000003,19980401,,S&P 500 Comp-Ltd,I0003,SEALED AIR CORP,SEE
024870,000003,19980401,20050814,S&P 500 Comp-Ltd,I0003,NEXTEL COMMUNICATIONS INC,NXTL
001831,000003,19980408,20001203,S&P 500 Comp-Ltd,I0003,ASSOCIATES FIRST CAP -CL A,AFS
029345,000003,19980427,20060731,S&P 500 Comp-Ltd,I0003,GATEWAY INC,GTW
004885,000003,19980429,,S&P 500 Comp-Ltd,I0003,FRANKLIN RESOURCES INC,BEN
028930,000003,19980521,,S&P 500 Comp-Ltd,I0003,MARRIOTT INTL INC,MAR
010121,000003,19980701,,S&P 500 Comp-Ltd,I0003,NAVIENT CORP,NAVI
030990,000003,19980701,,S&P 500 Comp-Ltd,I0003,CAPITAL ONE FINANCIAL CORP,COF
