GOOG/AMEX_MBA,CIBT Education Group Inc (USA) (MBA),10/2/07,5/6/13,daily,12/10/13
GOOG/PINK_FGMG,Florida Gaming Corporation (FGMG),2/3/03,8/5/14,daily,11/3/14
GOOG/AMEX_WGA,Wells-Gardner Electronics Corporation (WGA),3/11/81,10/29/14,daily,12/8/14
GOOG/PINK_SLGI,Bay Acquisition Corp (SLGI),5/20/05,11/10/14,daily,12/8/14
GOOG/PINK_AXSI,"Axcess International, Inc. (AXSI)",1/2/03,9/11/13,daily,12/10/13
GOOG/PINK_RNWF,"Renewal Fuels, Inc. (RNWF)",12/13/06,7/15/13,daily,10/13/13
GOOG/NYSE_URS,URS Corp (URS),3/11/81,10/16/14,daily,12/8/14
GOOG/AMEX_ATA,Safety First Trust Principal-Protected Certificates Linked to a U.S.-Europe-Japan Basket (ATA),2/26/08,3/5/14,daily,6/3/14
GOOG/NASDAQ_ITMN,InterMune Inc (ITMN),3/24/00,9/26/14,daily,12/8/14
GOOG/NASDAQ_FBMI,Firstbank Corporation (FBMI),1/3/00,5/30/14,daily,8/28/14
GOOG/PINK_LAWEQ,Law Enforcem Assoc (LAWEQ),7/15/05,1/24/13,daily,8/27/13
GOOG/PINK_NCLC,NORCAL COMMTY BCP CA (NCLC),1/2/03,12/4/13,daily,3/4/14
GOOG/AMEX_SSE,Southern Connecticut Bancorp Inc. (SSE),7/31/01,6/21/13,daily,12/10/13
GOOG/NASDAQ_VOXX,VOXX International Corp (VOXX),5/29/87,12/9/11,daily,12/10/13
GOOG/NASDAQ_TRLG,"True Religion Apparel, Inc. (TRLG)",5/29/03,7/30/13,daily,12/10/13
GOOG/PINK_OSGIQ,Overseas Shipholding Group Inc. (OSGIQ),1/2/03,6/3/14,daily,9/1/14
GOOG/PINK_LWLL,Linkwell Corporation (LWLL),8/22/05,6/27/14,daily,9/25/14
GOOG/PINK_PCXCQ,Patriot Coal Corporation (PCXCQ),6/11/12,12/17/13,daily,3/16/14
GOOG/PINK_RIVE,Riverview Financial Corporation (RIVE),3/4/09,11/1/13,daily,12/7/13
GOOG/NASDAQ_ASIA,Asiainfo-Linkage Inc (ASIA),1/3/00,1/15/14,daily,4/15/14
GOOG/NASDAQ_RTLX,Retalix Limited (RTLX),7/10/98,2/5/13,daily,12/10/13
GOOG/PINK_TEXG,Terax Energy Inc. (TEXG),6/13/05,8/26/13,daily,11/24/13
GOOG/NYSE_HNZ,H.J. Heinz Company (HNZ),3/11/81,6/7/13,daily,12/10/13
GOOG/PINK_CPCF,"CPC of America, Inc. (CPCF)",2/22/11,5/11/11,daily,8/27/13
GOOG/PINK_SBKCQ,Security Bank Corporation (SBKCQ),6/3/03,8/5/14,daily,11/3/14
GOOG/PINK_DINIQ,Decorator Industries Inc. (DINIQ),1/2/03,10/15/12,daily,8/27/13
GOOG/PINK_IREP,"Interep National Radio Sales, Inc. (IREP)",2/10/06,1/24/14,daily,4/24/14
GOOG/NASDAQ_STSA,Sterling Financial Corporation (STSA),11/21/91,4/17/14,daily,7/16/14
GOOG/PINK_NBFAQ,NOVA BIOSOURCE FUELS (NBFAQ),4/15/09,9/15/14,daily,12/8/14
GOOG/PINK_IVVI,"Montvale Technologies, Inc. (IVVI)",6/23/09,7/30/13,daily,10/28/13
GOOG/PINK_TVOC,Texas Vanguard Oil Co (TVOC),1/2/03,10/20/14,daily,12/8/14
GOOG/AMEX_GOK,Geokinetics (GOK),1/3/00,12/14/12,daily,8/27/13
GOOG/NYSE_SRZ,Sunrise Senior Living (SRZ),3/7/97,1/8/13,daily,8/27/13
GOOG/PINK_ADZR,Adzone Research Inc (ADZR),7/21/06,3/28/13,daily,8/27/13
GOOG/PINK_AADI,American Asset Development Inc (AADI),6/27/06,8/27/13,daily,11/25/13
GOOG/PINK_IASCA,"IAS Energy, Inc. (IASCA)",1/2/03,1/24/13,daily,8/27/13
GOOG/NYSE_GWAY,"Greenway Medical Technologies, Inc. (GWAY)",2/2/12,11/4/13,daily,2/2/14
GOOG/NASDAQ_PCBC,Pacific Capital Bancorp (PCBC),5/13/96,11/30/12,daily,12/10/13
GOOG/NASDAQ_JFBI,Jefferson Bancshares Inc (JFBI),7/2/03,5/30/14,daily,8/28/14
GOOG/NYSE_AGP,Amerigroup Corp. (AGP),11/6/01,12/21/12,daily,8/27/13
GOOG/NYSE_OMX,OfficeMax Inc (OMX),3/11/81,11/5/13,daily,2/3/14
GOOG/PINK_CKFB,C K F Bancorp Inc (CKFB),1/2/03,11/14/12,daily,8/27/13
GOOG/PINK_TRDM,Trend Mining Company (TRDM),6/19/00,1/17/13,daily,8/27/13
GOOG/NYSE_RBN,Robbins & Myers (RBN),4/21/97,2/20/13,daily,8/27/13
GOOG/PINK_ZCOM,"Impreso, Inc. (ZCOM)",9/5/06,8/22/14,daily,11/20/14
GOOG/NASDAQ_HTCO,Hickory Tech Corporation (HTCO),3/23/95,10/16/14,daily,12/8/14
GOOG/NASDAQ_LSBI,LSB Financial Corp. (LSBI),2/3/95,10/31/14,daily,12/8/14
GOOG/PINK_VRYAF,ViryaNet Ltd. (VRYAF),9/19/00,8/27/14,daily,11/25/14
GOOG/NASDAQ_MEAS,"Measurement Specialties, Inc. (MEAS)",4/23/93,10/9/14,daily,12/8/14
GOOG/NASDAQ_OTT,Otelco Inc (OTT),12/16/04,5/24/13,daily,12/10/13
GOOG/NYSE_USU,USEC Inc. (USU),7/23/98,9/29/14,daily,12/7/14
GOOG/NASDAQ_COBR,Cobra Electronics Corporation (COBR),3/11/81,10/8/14,daily,12/8/14
GOOG/NYSE_BZ,Boise Inc. (BZ),6/28/07,10/25/13,daily,1/23/14
GOOG/NYSE_SAI,Leidos Holdings Inc (SAI),10/13/06,9/27/13,daily,12/13/13
GOOG/PINK_VISI,"Volt Information Sciences, Inc. (VISI)",1/2/03,8/25/14,daily,11/23/14
GOOG/NASDAQ_DELL,Dell Inc. (DELL),6/22/88,10/29/13,daily,1/27/14
GOOG/PINK_GHII,Gold Horse International Inc (GHII),8/2/07,8/14/14,daily,11/12/14
GOOG/PINK_ABNS,Alliance Bancshares California (ABNS),6/17/09,7/3/12,daily,8/27/13
GOOG/PINK_GEPT,"Global EPoint, Inc. (GEPT)",1/4/99,8/6/13,daily,11/5/13
GOOG/NASDAQ_STEI,"Stewart Enterprises, Inc. (STEI)",10/10/91,12/23/13,daily,3/23/14
GOOG/PINK_BKRSQ,Bakers Footwear Group Inc (BKRSQ),6/11/12,9/29/14,daily,12/8/14
GOOG/PINK_FPCG,First Physicians Capital Group Inc (FPCG),12/30/05,10/23/14,daily,12/7/14
GOOG/NASDAQ_FIRE,Sourcefire LLC (FIRE),3/9/07,10/7/13,daily,1/5/14
GOOG/NASDAQ_MNTG,"MTR Gaming Group, Inc. (MNTG)",12/7/92,9/18/14,daily,12/8/14
GOOG/PINK_SKFBQ,S K Famous Brands (SKFBQ),1/2/03,10/15/13,daily,1/13/14
GOOG/PINK_BCST,"Broadcast International, Inc. (BCST)",1/23/04,8/4/14,daily,11/2/14
GOOG/PINK_LJPC,La Jolla Pharmaceutical Company (LJPC),1/2/03,4/2/13,daily,8/27/13
GOOG/PINK_JGBO,Jiangbo Pharmaceuticals Inc (JGBO),1/2/03,7/1/13,daily,9/29/13
GOOG/NASDAQ_OCZ,OCZ Technology Group Inc. (OCZ),4/23/10,8/22/14,daily,11/20/14
GOOG/NASDAQ_SLTM,Solta Medical Inc (SLTM),11/10/06,1/23/14,daily,4/23/14
GOOG/NASDAQ_CHDX,"Chindex International, Inc. (CHDX)",8/18/94,9/29/14,daily,12/8/14
GOOG/NASDAQ_WBCO,Washington Banking Co (WBCO),6/23/98,4/30/14,daily,7/29/14
GOOG/PINK_ASFN,Atlantic Southern Financial Grou (ASFN),4/16/07,2/28/13,daily,8/27/13
GOOG/PINK_CWLZ,Cowlitz Bancorporation (CWLZ),1/2/03,8/12/14,daily,11/10/14
GOOG/AMEX_PDO,Pyramid Oil Company (PDO),1/14/00,9/10/14,daily,12/8/14
GOOG/NASDAQ_IMCB,Intermountain Community Bancorp (IMCB),7/17/00,10/31/14,daily,12/8/14
GOOG/NASDAQ_OBAF,OBA Financial Services Inc (OBAF),1/22/10,9/19/14,daily,12/8/14
GOOG/NASDAQ_VSNT,Versant Corp (VSNT),7/18/96,12/20/12,daily,12/10/13
GOOG/NYSE_PVR,PVR Partners LP (PVR),10/25/01,3/20/14,daily,6/18/14
GOOG/PINK_DYMTF,Dynamotive Energy Sy (DYMTF),8/10/10,10/23/12,daily,8/27/13
GOOG/NASDAQ_TAYC,Taylor Capital Group Inc (TAYC),10/16/02,8/15/14,daily,11/13/14
GOOG/PINK_PWON,Powin Corporation (PWON),9/30/10,9/3/14,daily,12/1/14
GOOG/NASDAQ_OPNT,"OPNET Technologies, Inc. (OPNT)",8/2/00,12/18/12,daily,12/10/13
GOOG/PINK_TLLE,"Teletouch Communications, Inc. (TLLE)",1/2/03,8/6/13,daily,11/4/13
